-------------------------------------------------------------------------------
<-Name->|<- code ->|<--  Units   -->|<- Tile (max=80c)
-------------------------------------------------------------------------------
BLGPSM  |SM P    MR|mol C/m3        |Small phytoplankton biomass (mol C/m3/s)
BLGPLG  |SM P    MR|mol C/m3        |Large phytoplankton biomass (mol C/m3/s)
BLGPDIA |SM P    MR|mol C/m3        |Diazotroph phytoplankton biomass (mol C/m3/s)
BLGCHL  |SM P    MR|mg/m3           |Chlorophyll concentration
BLGCHL2C|SM P    MR|mol Chl/mol C   |Chlorophyll to Carbon ratio
BLGC2CHL|SM P    MR|g C/g Chl       |Carbon to Chlorophyll ratio
BLGPOC  |SM P    MR|mol C/m3        |Particulate Organic Carbon concentration
BLGPOCF |SM P    MR|mol C/m3/s      |Particulate Organic Carbon Flux
BLGNPP  |SM P    MR|mol C/m3/s      |Net Primary Production
BLGNCP  |SM P    MR|mol C/m3/s      |Net Community Production
BLGPCM  |SM P    MR|1/s             |Maximum photosynthesis rate
BLGMU   |SM P    MR|1/s             |Phytoplankton growth rate
BLGMUDIA|SM P    MR|1/s             |Diazotroph growth rate
BLGIRRK |SM P    MR|W/m2            |Nutrient-limited photosynthesis efficiency
BLGLLIM |SM P    MR|-               |Light limitation
BLGNLIM |SM P    MR|-               |N limitation
BLGPLIM |SM P    MR|-               |P limitation
BLGFELIM|SM P    MR|-               |Fe limitation
BLGSILIM|SM P    MR|-               |Si limitation
BLGSIUP |SM P    MR|mol Si/m3/s     |Silica uptake by bio
BLGSIREM|SM P    MR|mol Si/m3/s     |Silica remin of sinking org matter
BLGSIREC|SM P    MR|mol Si/m3/s     |Silica recycling
BLGSIDIS|SM P    MR|mol Si/m3/s     |Silica dissolution fraction
BLGSI2N |SM P    MR|-               |Si to N stoichiometric ratio
BLGP2N  |SM P    MR|-               |P to N stoichiometric ratio
BLGFE2N |SM P    MR|-               |Fe to N stoichiometric ratio
BLGPCO2 |SM P    M1|atm             |Surface ocean partial pressure of CO2
BLGPH3D |SM P    MR|dimensionless   |pH
BLGOMAR |SM P    MR|dimensionless   |Aragonite saturation
BLGCFLX |SM P    L1|mol/m2/sec      |Flux of CO2 due to air-sea exch (mol/m2/s)
BLGapco2|SM      U1|10^-6 ppm       |Atmospheric partial pressure of CO2
BLGOFLX |SM P    L1|mol/m2/sec      |Flux of O2 due to air-sea exch (mol/m2/s)
BLGO2SAT|SM P    L1|percent         |surface O2 saturation (percent)
BLGSURFE|SM P    L1|mol/m2/sec      |Surface deposition of Fe (mol/m2/s)
BLGFEUP |SM P    MR|mol Fe/m3/s     |Iron uptake by bio
BLGFESPM|SM P    MR|mol Fe/m3/s     |Iron sinking particle flux
BLGFEREM|SM P    MR|mol Fe/m3/s     |Iron remin of sinking organic matter
BLGFERD |SM P    MR|mol Fe/m3/s     |Iron remin from Diel Vertical Migration
