-------------------------------------------------------------------------------
<-Name->|<- code ->|<--  Units   -->|<- Tile (max=80c)
-------------------------------------------------------------------------------
HFLUX   |SM      L1|watt/m2         |Sensible Heat Flux (pos.upwrd)  (W/m^2)
EFLUX   |SM      L1|watt/m2         |Latent   Heat Flux (pos.upwrd)  (W/m^2)
UFLUX   |UM      L1|N/m2            |Zonal Wind Surface Stress  (N/m^2)
VFLUX   |VM      L1|N/m2            |Meridional Wind Surface Stress  (N/m^2)
QICE    |SM      L1|watt/m2         |Heat Conduction through Sea-Ice  (W/m^2)
RADLWG  |SM      L1|watt/m2         |Net Upward   Longwave Flux at the Ground  (W/m^2)
RADSWG  |SM      L1|watt/m2         |Net Downward Shortwave Flux at the Ground  (W/m^2)
RI      |SM      LL|non-dimensional |Richardson Number  (non-dimensional)
CT      |SM      L1|non-dimensional |Surface Drag Coef for Scalars (non-dimensional)
CU      |SM      L1|non-dimensional |Surface Drag Coef for Winds (non-dimensional)
KM      |SM      LL|m2/sec          |Eddy Diffusivity Coefficient for Momentum  (m^2/s)
KH      |SM      LL|m2/sec          |Eddy Diffusivity Coefficient for Scalars  (m^2/s)
TURBU   |UM      ML|m/s/day         |Zonal Wind Tendency from Turbulence  (m/s/day)
TURBV   |VM      ML|m/s/day         |Meridional Wind Tendency from Turbulence  (m/s/day)
TURBT   |SM      ML|K/day           |Temperature Tendency from Turbulence  (K/day)
TURBQ   |SM      ML|gram/kg/day     |Specific Humidity Tendency from Turbulence  (g/kg/day)
MOISTU  |UM      ML|m/s/day         |Zonal Wind Tendency from Moist Proc  (m/s/day)
MOISTV  |VM      ML|m/s/day         |Meridional Wind Tendency from Moist Proc  (m/s/day)
MOISTT  |SM      ML|K/day           |Temperature Tendency due to Moist Processes  (K/day)
MOISTQ  |SM      ML|gram/kg/day     |Specific Humidity Tendency due to Moist Processes  (g/kg/day)
RADLW   |SM      ML|K/day           |Temperature Tendency due to Longwave Radiation  (K/day)
RADSW   |SM      ML|K/day           |Temperature Tendency due to Shortwave Radiation  (K/day)
PREACC  |SM      L1|mm/day          |Total Precipitation  (mm/day)
PRECON  |SM      L1|mm/day          |Convective Precipitation  (mm/day)
TUFLUX  |UM      LL|N/m2            |Turbulent Flux of Zonal Momentum  (N/m^2)
TVFLUX  |VM      LL|N/m2            |Turbulent Flux of Meridional Momentum  (N/m^2)
TTFLUX  |SM      LL|watt/m2         |Turbulent Flux of Sensible Heat  (W/m^2)
TQFLUX  |SM      LL|watt/m2         |Turbulent Flux of Latent Heat  (W/m^2)
CN      |SM      L1|non-dimensional |Neutral Drag Coefficient  (non-dimensional)
WINDS   |SM      L1|m/sec           |Surface Wind Speed  (m/s)
DTSRF   |SM      L1|K               |Air/Surface Virtual Temperature Difference  (deg K)
TGROUND |SM      L1|K               |Ground Temperature  (deg K)
TS      |SM      L1|K               |Surface Air Temperature  (deg K)
DTG     |SM      L1|K               |Ground Temperature Adjustment (deg K)
QG      |SM P    L1|gram/kg         |Ground Specific Humidity  (g/kg)
QS      |SM P    L1|gram/kg         |Saturation Surface Specific Humidity  (g/kg)
TGRLW   |SM      L1|K               |Ground Temperature used by LW Radiation  (deg K)
LWGUP   |SM      L1|watt/m2         |Upward Longwave Radiation at the Ground  (W/m^2)
OLR     |SM      U1|watt/m2         |Outgoing Longwave Radiation   (W/m^2)
OLRCLR  |SM      U1|watt/m2         |Clear Sky Outgoing Longwave Radiation  (W/m^2)
LWGCLR  |SM      L1|watt/m2         |Clear Sky Net Longwave Flux at the Ground  (W/m^2)
LWCLR   |SM      ML|K/day           |Clear Sky Longwave Radiation Heating Rates  (K/day)
TLW     |SM      ML|K               |Temperature used by Radiation  (deg K)
SHRAD   |SM P    ML|gram/kg         |Specific Humidity used by Radiation  (g/kg)
OZLW    |SM      ML|non-dimensional |Ozone mixing ratio used by Longwave Radiation (non-dimensional)
CLDRAS  |SM P    ML|0-1             |Convective Cloud Fraction  (0-1)
CLDTOT  |SM P    ML|0-1             |3-D Total Cloud Fraction  (0-1)
LWGDOWN |SM      L1|watt/m2         |Downward Longwave Radiation at the Ground  (W/m^2)
GWDT    |SM      ML|K/day           |Temperature Tendency due to Gravity Wave Drag  (K/day)
RADSWT  |SM      U1|watt/m2         |Incident Shortwave Radiation at TOA (W/m^2)
TAUCLD  |SM  C   ML|non-dimensional |Counted Cloud Optical Depth (non-dimensional) per 100 mb
TAUCLDC |SM  D   ML|count           |Cloud Optical Depth Counter
CLDLOW  |SM P    M1|0-1             |Low-Level ( 1000-700 hPa) Cloud Fraction  (0-1)
EVAP    |SM      L1|mm/day          |Surface Evaporation  (mm/day)
DPDT    |SM      L1|hPa/day         |Surface Pressure Tendency  (hPa/day)
UAVE    |UM      ML|m/s             |Average Zonal Wind (m/s)
VAVE    |VM      ML|m/s             |Average Meridional Wind (m/s)
TAVE    |SM      ML|K               |Average Potential Temperature (K)
QAVE    |SM      ML|gram/kg         |Average Specific Humidity (g/kg)
OMEGA   |SM      ML|hPa/day         |Vertical Velocity  (hPa/day)
DUDT    |UM      ML|m/s/day         |Total Zonal Wind Tendency  (m/s/day)
DVDT    |VM      ML|m/s/day         |Total Meridional Wind Tendency  (m/s/day)
DTDT    |SM      ML|K/day           |Total Temperature Tendency  (K/day)
DQDT    |SM      ML|gram/kg/day     |Total Specific Humidity Tendency  (g/kg/day)
VORT    |SM      ML|(e-4 sec-1)     |Relative Vorticity  (x10^-4  sec^-1)
DTLS    |SM      ML|K/day           |Temperature Tendency due to Stratiform Processes  (K/day)
DQLS    |SM      ML|gram/kg/day     |Specific Humidity Tendency from Stratiform Processes (g/kg/day)
USTAR   |SM      L1|m/sec           |Friction Velocity  (m/s)
Z0      |SM      L1|m               |Surface Roughness Z0  (m)
FRQTRB  |SM P    MM|0-1             |Frequency of Turbulence  (0-1)
PBL     |SM P    M1|hPa             |Estimated PBL Depth  (hPa)
SWCLR   |SM      ML|K/day           |Clear Sky Shortwave Heating Rates  (K/day)
OSR     |SM      U1|watt/m2         |Outgoing Shortwave Radiation  (W/m^2)
OSRCLR  |SM      U1|watt/m2         |Clear Sky Outgoing Shortwave Radiation  (W/m^2)
CLDMAS  |SM P    LL|g/m2/sec        |Cloud Mass Flux  (g/m^2/sec)
UWND    |UM      ML|m/sec           |Time-Averaged Zonal Wind  (m/s)
VWND    |VM      ML|m/sec           |Time-Averaged Meridional Wind  (m/s)
TMPU    |SM      ML|K               |Time-Averaged Temperature  (deg K)
SPHU    |SM P    ML|gram/kg         |Time-Averaged Specific Humidity  (g/kg)
RFT     |SM      ML|K/day           |Temperature Tendency due to Rayleigh Friction (K/day)
PS      |SM      L1|hPa             |Time-Averaged Surface Pressure  (hPa)
SLP     |SM      L1|mb              |Sea Level Pressure (mb)
