-------------------------------------------------------------------------------
<-Name->|<- code ->|<--  Units   -->|<- Tile (max=80c)
-------------------------------------------------------------------------------
SIarea  |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
SIareaPR|SM      M1|m^2/m^2         |SIarea preceeding ridging process
SIareaPT|SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
SIheff  |SM      M1|m               |SEAICE effective ice thickness
SIheffPT|SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
SIhsnow |SM      M1|m               |SEAICE effective snow thickness
SIhsnoPT|SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
SIhsalt |SM      M1|g/m^2           |SEAICE effective salinity
SIenpa  |SM      M1|W/m^2           |SEAICE power input by surface wind stresses
SIenpw  |SM      M1|W/m^2           |SEAICE work done by ocean drag
SIenph  |SM      M1|W/m^2           |SEAICE power due to change in inertia
SIenpg  |SM      M1|W/m^2           |SEAICE work generated by gravity
SIenpi  |SM      M1|W/m^2           |SEAICE work done by internal stress
SIenpot |SM      M1|W/m^2           |SEAICE work done to change potential energy
SIpRfric|SM      M1|W/m^2           |SEAICE dissipation in ridging by internal stresses
SIpSfric|SM      M1|W/m^2           |SEAICE dissipation in shearing by internal stresses
SItr##  |SM  C   M1|[SItr]          |<SItrNameLong> (associated with SItrMate(iTr))
SItr##PT|SM  C   M1|[SItr]          |SItr## preceeeding thermodynamic growth/melt
SItices |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
SIuice  |UZ      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
SIvice  |VZ      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
SItaux  |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
SItauy  |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
SIatmTx |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
SIatmTy |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
SIqnet  |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
SIqsw   |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
SIatmQnt|SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
SItflux |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
SIaaflux|SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
SIhl    |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
SIqneto |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
SIqneti |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
SIempmr |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
SIatmFW |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
SIsnPrcp|SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
SIfwSubl|SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
